id,title,genre,year,rating
1,Inception,SF,2010,4.66667
2,Parasite,드라마,2019,4
3,Interstellar,SF,2014,4.66667
4,The Matrix,SF,1999,4.8
5,Oldboy,스릴러,2003,4
6,Avengers,액션,2012,4.33333
7,Joker,스릴러,2019,4.5
8,1917,전쟁,2019,4.5
9,Dune,SF,2021,3.5
10,Oppenheimer,드라마,2023,4.6
11,The Dark Knight,액션,2008,4.8
12,Spirited Away,애니메이션,2001,5
13,Whiplash,드라마,2014,4.5
14,Arrival,SF,2016,4.5
15,Gravity,SF,2013,3
16,Her,SF,2013,4.5
17,Gone Girl,스릴러,2014,4
18,The Revenant,어드벤처,2015,4
19,Mad Max Fury Road,액션,2015,4.33333
20,La La Land,뮤지컬,2016,4.33333
21,Get Out,공포,2017,4
22,Blade Runner 2049,SF,2017,3.66667
23,Hereditary,공포,2018,5
24,Roma,드라마,2018,4.5
25,Us,공포,2019,2.5
26,Midsommar,공포,2019,4
27,Tenet,SF,2020,3.33333
28,Soul,애니메이션,2020,4.33333
29,Nomadland,드라마,2020,3
30,The Father,드라마,2020,4.33333
31,No Time to Die,액션,2021,3
32,The Power of the Dog,드라마,2021,3
33,CODA,드라마,2021,4
34,Everything Everywhere,SF,2022,4
35,The Banshees,드라마,2022,3.33333
36,Tar,드라마,2022,3.5
37,All Quiet on the Front,전쟁,2022,4
38,Poor Things,드라마,2023,4
39,Killers of the Flower Moon,드라마,2023,3.5
40,Past Lives,로맨스,2023,4.66667
