userId,movieId,score
1,1,5
1,3,5
1,4,4
1,7,4
1,9,3
1,10,5
1,11,5
1,13,4
1,14,4
1,22,3
2,4,5
2,6,5
2,8,4
2,10,4
2,11,5
2,19,5
2,27,3
2,31,3
2,34,4
2,38,4
3,2,5
3,12,5
3,16,4
3,20,4
3,24,5
3,28,4
3,29,3
3,30,5
3,33,4
3,40,5
4,5,4
4,7,5
4,17,4
4,21,4
4,23,5
4,25,3
4,26,4
4,32,3
4,35,4
4,36,3
5,1,5
5,3,4
5,4,5
5,9,4
5,10,5
5,11,4
5,14,5
5,15,3
5,22,4
5,27,3
6,10,5
6,34,4
6,35,3
6,36,4
6,37,4
6,38,5
6,39,4
6,40,5
6,33,3
6,28,4
7,2,4
7,12,5
7,16,5
7,20,5
7,24,4
7,28,5
7,30,4
7,33,5
7,38,4
7,40,4
8,4,5
8,5,4
8,11,5
8,12,5
8,13,5
8,18,4
8,19,4
8,22,4
8,3,5
8,1,4
9,2,3
9,6,4
9,10,4
9,15,3
9,20,4
9,25,2
9,30,4
9,35,3
9,38,4
9,39,3
10,4,5
10,6,4
10,8,5
10,11,5
10,19,4
10,27,4
10,31,3
10,34,4
10,37,4
10,38,3
1,42,5
2,42,3
3,42,5
4,42,5
11,42,5
11,40,3
